n_targets	n_bootstraps	n_processed	n_pseudoaligned	n_unique	p_pseudoaligned	p_unique	kallisto_version	index_version	start_time	call	sample_accession	nCount_RNA	nFeature_RNA	percent_mt
0	0	38712588	26549418	7063380	68.6	18.2	0.46.2	0	Sun Mar  7 10:20:46 2021	kallisto bus -t 8 -x 10xv2 -i references/kallisto_idx/10xv2/hs-homo_sapiens.idx -o /data/OGVFB_BG/scEiaD/2021_01_21/quant/EGAF00004257458/10xv2/hs-homo_sapiens /data/OGVFB_BG/scEiaD/fastq/EGAF00004257458_1.fastq.gz /data/OGVFB_BG/scEiaD/fastq/EGAF00004257458_2.fastq.gz	EGAF00004257458	1938.3942307692307	756.9615384615385	2.731965733363544
0	0	62820542	47644981	8186835	75.8	13	0.46.2	0	Sun Mar  7 10:46:39 2021	kallisto bus -t 8 -x 10xv2 -i references/kallisto_idx/10xv2/hs-homo_sapiens.idx -o /data/OGVFB_BG/scEiaD/2021_01_21/quant/EGAF00004257459/10xv2/hs-homo_sapiens /data/OGVFB_BG/scEiaD/fastq/EGAF00004257459_1.fastq.gz /data/OGVFB_BG/scEiaD/fastq/EGAF00004257459_2.fastq.gz	EGAF00004257459	1472.1769772905247	771.6217697729053	2.9294630062961424
0	0	99204961	73835838	12874972	74.4	13	0.46.2	0	Sun Mar  7 09:52:08 2021	kallisto bus -t 8 -x 10xv2 -i references/kallisto_idx/10xv2/hs-homo_sapiens.idx -o /data/OGVFB_BG/scEiaD/2021_01_21/quant/EGAF00004257460/10xv2/hs-homo_sapiens /data/OGVFB_BG/scEiaD/fastq/EGAF00004257460_1.fastq.gz /data/OGVFB_BG/scEiaD/fastq/EGAF00004257460_2.fastq.gz	EGAF00004257460	1617.016	836.5544	2.8632463848210707
0	0	70590553	52833224	9190066	74.8	13	0.46.2	0	Sun Mar  7 09:23:51 2021	kallisto bus -t 8 -x 10xv2 -i references/kallisto_idx/10xv2/hs-homo_sapiens.idx -o /data/OGVFB_BG/scEiaD/2021_01_21/quant/EGAF00004257461/10xv2/hs-homo_sapiens /data/OGVFB_BG/scEiaD/fastq/EGAF00004257461_1.fastq.gz /data/OGVFB_BG/scEiaD/fastq/EGAF00004257461_2.fastq.gz	EGAF00004257461	1466.8503759398495	779.6646616541353	2.849868970290272
0	0	73510251	55450623	11832141	75.4	16.1	0.46.2	0	Sun Mar  7 08:43:44 2021	kallisto bus -t 8 -x 10xv2 -i references/kallisto_idx/10xv2/hs-homo_sapiens.idx -o /data/OGVFB_BG/scEiaD/2021_01_21/quant/EGAF00004257462/10xv2/hs-homo_sapiens /data/OGVFB_BG/scEiaD/fastq/EGAF00004257462_1.fastq.gz /data/OGVFB_BG/scEiaD/fastq/EGAF00004257462_2.fastq.gz	EGAF00004257462	4225.8	1805.65	4.338599722416946
0	0	81584283	61990171	12964489	76	15.9	0.46.2	0	Sun Mar  7 10:38:45 2021	kallisto bus -t 8 -x 10xv2 -i references/kallisto_idx/10xv2/hs-homo_sapiens.idx -o /data/OGVFB_BG/scEiaD/2021_01_21/quant/EGAF00004257463/10xv2/hs-homo_sapiens /data/OGVFB_BG/scEiaD/fastq/EGAF00004257463_1.fastq.gz /data/OGVFB_BG/scEiaD/fastq/EGAF00004257463_2.fastq.gz	EGAF00004257463	5422.0526315789475	2127.8947368421054	4.6219388068556935
0	0	122894196	92555448	19385134	75.3	15.8	0.46.2	0	Sun Mar  7 09:26:04 2021	kallisto bus -t 8 -x 10xv2 -i references/kallisto_idx/10xv2/hs-homo_sapiens.idx -o /data/OGVFB_BG/scEiaD/2021_01_21/quant/EGAF00004257464/10xv2/hs-homo_sapiens /data/OGVFB_BG/scEiaD/fastq/EGAF00004257464_1.fastq.gz /data/OGVFB_BG/scEiaD/fastq/EGAF00004257464_2.fastq.gz	EGAF00004257464	1607.6072607260726	890.5192519251925	2.6273918609633853
0	0	90518432	68347051	14687824	75.5	16.2	0.46.2	0	Sun Mar  7 09:12:45 2021	kallisto bus -t 8 -x 10xv2 -i references/kallisto_idx/10xv2/hs-homo_sapiens.idx -o /data/OGVFB_BG/scEiaD/2021_01_21/quant/EGAF00004257465/10xv2/hs-homo_sapiens /data/OGVFB_BG/scEiaD/fastq/EGAF00004257465_1.fastq.gz /data/OGVFB_BG/scEiaD/fastq/EGAF00004257465_2.fastq.gz	EGAF00004257465	5124.470588235294	2107.176470588235	5.157087506225311
0	0	52209065	39576016	10159143	75.8	19.5	0.46.2	0	Sun Mar  7 09:47:07 2021	kallisto bus -t 8 -x 10xv2 -i references/kallisto_idx/10xv2/hs-homo_sapiens.idx -o /data/OGVFB_BG/scEiaD/2021_01_21/quant/EGAF00004257466/10xv2/hs-homo_sapiens /data/OGVFB_BG/scEiaD/fastq/EGAF00004257466_1.fastq.gz /data/OGVFB_BG/scEiaD/fastq/EGAF00004257466_2.fastq.gz	EGAF00004257466	2600.3829787234044	1019.1914893617021	3.302573128146638
0	0	35404147	26557300	6802821	75	19.2	0.46.2	0	Sun Mar  7 09:30:34 2021	kallisto bus -t 8 -x 10xv2 -i references/kallisto_idx/10xv2/hs-homo_sapiens.idx -o /data/OGVFB_BG/scEiaD/2021_01_21/quant/EGAF00004257467/10xv2/hs-homo_sapiens /data/OGVFB_BG/scEiaD/fastq/EGAF00004257467_1.fastq.gz /data/OGVFB_BG/scEiaD/fastq/EGAF00004257467_2.fastq.gz	EGAF00004257467	4109.170212765957	1527.3617021276596	3.843624605930861
